عدد قراء حفص الكاملين: 96
سيتم إنشاء الملفات داخل: timings_hafs_114

📖 تحميل توقيتات السورة 001 ...
  ✅ read=1 | إبراهيم الأخضر | ayat=7
  ✅ read=256 | أحمد خليل شاهين | ayat=7
  ✅ read=258 | عبدالرشيد صوفي | ayat=7
  ✅ read=259 | أحمد النفيس | ayat=7
  ✅ read=265 | أحمد ديبان | ayat=7
  ✅ read=268 | بيشه وا قادر الكردي | ayat=7
  ✅ read=273 | هيثم الدخين | ayat=7
  ✅ read=282 | عبدالعزيز التركي | ayat=7
  ✅ read=289 | أحمد عيسى المعصراوي | ayat=7
  ✅ read=294 | سيد أحمد هاشمي | ayat=7
  ✅ read=295 | خالد كريم محمدي | ayat=7
  ✅ read=299 | حسن صالح | ayat=7
  ✅ read=300 | صالح الشمراني | ayat=7
  ✅ read=303 | عيسى عمر سناكو | ayat=7
  ✅ read=314 | أنس العمادي | ayat=7
  ✅ read=340 | محمد برهجي | ayat=7
  ✅ read=10905 | حسن الدغريري | ayat=7
✅ تم إنشاء: timings_hafs_114/timing_001.json

📖 تحميل توقيتات السورة 002 ...
  ✅ read=1 | إبراهيم الأخضر | ayat=287
  ✅ read=3 | إبراهيم العسيري | ayat=286
  ✅ read=4 | شيخ أبو بكر الشاطري | ayat=286
  ✅ read=5 | أحمد بن علي العجمي | ayat=287
  ✅ read=6 | أحمد الحواشي | ayat=286
  ✅ read=8 | أحمد صابر | ayat=286
  ✅ read=9 | أحمد نعينع | ayat=287
  ✅ read=10 | أكرم العلاقمي | ayat=287
  ✅ read=12 | إدريس أبكر | ayat=286
  ✅ read=13 | الزين محمد أحمد | ayat=286
  ✅ read=17 | توفيق الصايغ | ayat=286
  ✅ read=20 | خالد الجليل | ayat=286
  ✅ read=21 | خالد القحطاني | ayat=286
  ✅ read=22 | خالد عبدالكافي | ayat=286
  ✅ read=24 | خليفة الطنيجي | ayat=286
  ✅ read=25 | داود حمزة | ayat=286
  ✅ read=30 | سعد الغامدي | ayat=286
  ✅ read=31 | سعود الشريم | ayat=287
  ✅ read=32 | سهل ياسين | ayat=287
  ✅ read=33 | زكي داغستاني | ayat=286
  ✅ read=38 | شيرزاد عبدالرحمن طاهر | ayat=286
  ✅ read=39 | صابر عبدالحكم | ayat=286
  ✅ read=40 | صالح الصاهود | ayat=286
  ✅ read=42 | صالح الهبدان | ayat=286
  ✅ read=43 | صلاح البدير | ayat=286
  ✅ read=44 | صلاح الهاشم | ayat=286
  ✅ read=46 | صلاح بو خاطر | ayat=286
  ✅ read=48 | عادل ريان | ayat=286
  ✅ read=49 | عبدالبارئ الثبيتي | ayat=286
  ✅ read=50 | عبدالبارئ محمد | ayat=286
  ✅ read=53 | عبدالباسط عبدالصمد | ayat=287
  ✅ read=54 | عبدالرحمن السديس | ayat=286
  ✅ read=55 | عبدالعزيز الأحمد | ayat=286
  ✅ read=56 | عبدالعزيز الزهراني | ayat=286
  ✅ read=58 | عبدالله البعيجان | ayat=286
  ✅ read=59 | عبدالله المطرود | ayat=286
  ✅ read=60 | عبدالله بصفر | ayat=287
  ✅ read=61 | عبدالله خياط | ayat=286
  ✅ read=62 | عبدالله عواد الجهني | ayat=287
  ✅ read=66 | عبدالمحسن الحارثي | ayat=286
  ✅ read=67 | عبدالمحسن القاسم | ayat=287
  ✅ read=69 | عبدالمحسن العبيكان | ayat=286
  ✅ read=70 | عبدالهادي أحمد كناكري | ayat=286
  ✅ read=71 | عبدالودود حنيف | ayat=286
  ✅ read=72 | عبدالولي الأركاني | ayat=286
  ✅ read=74 | علي بن عبدالرحمن الحذيفي | ayat=286
  ✅ read=76 | علي جابر | ayat=286
  ✅ read=77 | علي حجاج السويسي | ayat=287
  ✅ read=78 | عماد زهير حافظ | ayat=287
  ✅ read=81 | فارس عباد | ayat=286
  ✅ read=86 | ناصر القطامي | ayat=286
  ✅ read=87 | نبيل الرفاعي | ayat=286
  ✅ read=88 | نعمة الحسان | ayat=286
  ✅ read=89 | هاني الرفاعي | ayat=286
  ✅ read=92 | ياسر الدوسري | ayat=286
  ✅ read=106 | محمد الطبلاوي | ayat=287
  ✅ read=109 | محمد أيوب | ayat=286
  ✅ read=110 | محمد صالح عالم شاه | ayat=286
  ✅ read=112 | محمد صديق المنشاوي | ayat=287
  ✅ read=115 | محمد عبدالكريم | ayat=286
  ✅ read=118 | محمود خليل الحصري | ayat=287
  ✅ read=123 | مشاري العفاسي | ayat=286
  ✅ read=139 | ماجد الزامل | ayat=286
  ✅ read=159 | خالد المهنا | ayat=287
  ✅ read=181 | جمعان العصيمي | ayat=286
  ✅ read=193 | يوسف بن نوح أحمد | ayat=286
  ✅ read=198 | محمد رشاد الشريف | ayat=286
  ✅ read=201 | أحمد الطرابلسي | ayat=286
  ✅ read=203 | أحمد عامر | ayat=286
  ✅ read=217 | بندر بليله | ayat=286
  ✅ read=219 | وديع اليمني | ayat=286
  ✅ read=221 | رعد محمد الكردي | ayat=286
  ✅ read=225 | عبدالرحمن العوسي | ayat=286
  ✅ read=229 | محمد خليل القارئ | ayat=286
  ✅ read=232 | إبراهيم الدوسري | ayat=286
  ✅ read=236 | عبدالرحمن الماجد | ayat=286
  ✅ read=243 | عبدالله الموسى | ayat=286
  ✅ read=244 | عبدالله الخلف | ayat=286
  ✅ read=245 | منصور السالمي | ayat=286
  ✅ read=250 | محمد البخيت | ayat=286
  ✅ read=256 | أحمد خليل شاهين | ayat=286
  ✅ read=258 | عبدالرشيد صوفي | ayat=286
  ✅ read=259 | أحمد النفيس | ayat=286
  ✅ read=265 | أحمد ديبان | ayat=286
  ✅ read=268 | بيشه وا قادر الكردي | ayat=286
  ✅ read=273 | هيثم الدخين | ayat=286
  ✅ read=282 | عبدالعزيز التركي | ayat=286
  ✅ read=289 | أحمد عيسى المعصراوي | ayat=286
  ✅ read=294 | سيد أحمد هاشمي | ayat=286
  ✅ read=295 | خالد كريم محمدي | ayat=286
  ✅ read=299 | حسن صالح | ayat=286
  ✅ read=300 | صالح الشمراني | ayat=286
  ✅ read=303 | عيسى عمر سناكو | ayat=286
  ✅ read=314 | أنس العمادي | ayat=286
  ✅ read=340 | محمد برهجي | ayat=286
  ✅ read=10905 | حسن الدغريري | ayat=286
✅ تم إنشاء: timings_hafs_114/timing_002.json

📖 تحميل توقيتات السورة 003 ...
  ✅ read=1 | إبراهيم الأخضر | ayat=201
  ✅ read=3 | إبراهيم العسيري | ayat=200
  ✅ read=4 | شيخ أبو بكر الشاطري | ayat=200
  ✅ read=5 | أحمد بن علي العجمي | ayat=201
  ✅ read=6 | أحمد الحواشي | ayat=200
  ✅ read=8 | أحمد صابر | ayat=200
  ✅ read=9 | أحمد نعينع | ayat=201
  ✅ read=10 | أكرم العلاقمي | ayat=201
  ✅ read=12 | إدريس أبكر | ayat=200
  ✅ read=13 | الزين محمد أحمد | ayat=200
  ✅ read=17 | توفيق الصايغ | ayat=200
  ✅ read=20 | خالد الجليل | ayat=200
  ✅ read=21 | خالد القحطاني | ayat=200
  ✅ read=22 | خالد عبدالكافي | ayat=200
  ✅ read=24 | خليفة الطنيجي | ayat=200
  ✅ read=25 | داود حمزة | ayat=200
  ✅ read=30 | سعد الغامدي | ayat=200
  ✅ read=31 | سعود الشريم | ayat=201
  ✅ read=32 | سهل ياسين | ayat=201
  ✅ read=33 | زكي داغستاني | ayat=200
  ✅ read=38 | شيرزاد عبدالرحمن طاهر | ayat=200
  ✅ read=39 | صابر عبدالحكم | ayat=200
  ✅ read=40 | صالح الصاهود | ayat=200
  ✅ read=42 | صالح الهبدان | ayat=200
  ✅ read=43 | صلاح البدير | ayat=200
  ✅ read=44 | صلاح الهاشم | ayat=200
  ✅ read=46 | صلاح بو خاطر | ayat=200
  ✅ read=48 | عادل ريان | ayat=200
  ✅ read=49 | عبدالبارئ الثبيتي | ayat=200
  ✅ read=50 | عبدالبارئ محمد | ayat=200
  ✅ read=53 | عبدالباسط عبدالصمد | ayat=201
  ✅ read=54 | عبدالرحمن السديس | ayat=200
  ✅ read=55 | عبدالعزيز الأحمد | ayat=200
  ✅ read=56 | عبدالعزيز الزهراني | ayat=200
  ✅ read=58 | عبدالله البعيجان | ayat=200
  ✅ read=59 | عبدالله المطرود | ayat=200
  ✅ read=60 | عبدالله بصفر | ayat=201
  ✅ read=61 | عبدالله خياط | ayat=200
  ✅ read=62 | عبدالله عواد الجهني | ayat=201
  ✅ read=66 | عبدالمحسن الحارثي | ayat=200
  ✅ read=67 | عبدالمحسن القاسم | ayat=201
  ✅ read=69 | عبدالمحسن العبيكان | ayat=200
  ✅ read=70 | عبدالهادي أحمد كناكري | ayat=200
  ✅ read=71 | عبدالودود حنيف | ayat=200
  ✅ read=72 | عبدالولي الأركاني | ayat=200
  ✅ read=74 | علي بن عبدالرحمن الحذيفي | ayat=200
  ✅ read=76 | علي جابر | ayat=200
  ✅ read=77 | علي حجاج السويسي | ayat=201
  ✅ read=78 | عماد زهير حافظ | ayat=201
  ✅ read=81 | فارس عباد | ayat=200
  ✅ read=86 | ناصر القطامي | ayat=200
  ✅ read=87 | نبيل الرفاعي | ayat=200
  ✅ read=88 | نعمة الحسان | ayat=200
  ✅ read=89 | هاني الرفاعي | ayat=200
  ✅ read=92 | ياسر الدوسري | ayat=200
  ✅ read=106 | محمد الطبلاوي | ayat=201
  ✅ read=109 | محمد أيوب | ayat=200
  ✅ read=110 | محمد صالح عالم شاه | ayat=200
  ✅ read=112 | محمد صديق المنشاوي | ayat=201
  ✅ read=115 | محمد عبدالكريم | ayat=200
  ✅ read=118 | محمود خليل الحصري | ayat=201
  ✅ read=123 | مشاري العفاسي | ayat=200
  ✅ read=139 | ماجد الزامل | ayat=200
  ✅ read=159 | خالد المهنا | ayat=201
  ✅ read=181 | جمعان العصيمي | ayat=200
  ✅ read=193 | يوسف بن نوح أحمد | ayat=200
  ✅ read=198 | محمد رشاد الشريف | ayat=200
  ✅ read=201 | أحمد الطرابلسي | ayat=200
  ✅ read=203 | أحمد عامر | ayat=200
  ✅ read=217 | بندر بليله | ayat=200
  ✅ read=219 | وديع اليمني | ayat=200
  ✅ read=221 | رعد محمد الكردي | ayat=200
  ✅ read=225 | عبدالرحمن العوسي | ayat=200
  ✅ read=229 | محمد خليل القارئ | ayat=200
  ✅ read=232 | إبراهيم الدوسري | ayat=200
  ✅ read=236 | عبدالرحمن الماجد | ayat=200
  ✅ read=243 | عبدالله الموسى | ayat=200
  ✅ read=244 | عبدالله الخلف | ayat=200
  ✅ read=245 | منصور السالمي | ayat=200
  ✅ read=250 | محمد البخيت | ayat=200
  ✅ read=256 | أحمد خليل شاهين | ayat=200
  ✅ read=258 | عبدالرشيد صوفي | ayat=200
  ✅ read=259 | أحمد النفيس | ayat=200
  ✅ read=265 | أحمد ديبان | ayat=200
  ✅ read=268 | بيشه وا قادر الكردي | ayat=200
  ✅ read=273 | هيثم الدخين | ayat=200
  ✅ read=282 | عبدالعزيز التركي | ayat=200
  ✅ read=289 | أحمد عيسى المعصراوي | ayat=200
  ✅ read=294 | سيد أحمد هاشمي | ayat=200
  ✅ read=295 | خالد كريم محمدي | ayat=200
  ✅ read=299 | حسن صالح | ayat=200
  ✅ read=300 | صالح الشمراني | ayat=200
  ✅ read=303 | عيسى عمر سناكو | ayat=200
  ✅ read=314 | أنس العمادي | ayat=200
  ✅ read=340 | محمد برهجي | ayat=200
  ✅ read=10905 | حسن الدغريري | ayat=200
✅ تم إنشاء: timings_hafs_114/timing_003.json

📖 تحميل توقيتات السورة 004 ...
  ✅ read=1 | إبراهيم الأخضر | ayat=177
  ✅ read=3 | إبراهيم العسيري | ayat=176
  ✅ read=4 | شيخ أبو بكر الشاطري | ayat=176
  ✅ read=5 | أحمد بن علي العجمي | ayat=177
  ✅ read=6 | أحمد الحواشي | ayat=176
  ✅ read=8 | أحمد صابر | ayat=176
  ✅ read=9 | أحمد نعينع | ayat=177
  ✅ read=10 | أكرم العلاقمي | ayat=177
  ✅ read=12 | إدريس أبكر | ayat=176
  ✅ read=13 | الزين محمد أحمد | ayat=176
  ✅ read=17 | توفيق الصايغ | ayat=176
  ✅ read=20 | خالد الجليل | ayat=176
  ✅ read=21 | خالد القحطاني | ayat=176
  ✅ read=22 | خالد عبدالكافي | ayat=176
  ✅ read=24 | خليفة الطنيجي | ayat=176
  ✅ read=25 | داود حمزة | ayat=176
  ✅ read=30 | سعد الغامدي | ayat=176
  ✅ read=31 | سعود الشريم | ayat=177
  ✅ read=32 | سهل ياسين | ayat=177
  ✅ read=33 | زكي داغستاني | ayat=176
  ✅ read=38 | شيرزاد عبدالرحمن طاهر | ayat=176
  ✅ read=39 | صابر عبدالحكم | ayat=176
  ✅ read=40 | صالح الصاهود | ayat=176
  ✅ read=42 | صالح الهبدان | ayat=176
  ✅ read=43 | صلاح البدير | ayat=176
  ✅ read=44 | صلاح الهاشم | ayat=176
  ✅ read=46 | صلاح بو خاطر | ayat=176
  ✅ read=48 | عادل ريان | ayat=176
  ✅ read=49 | عبدالبارئ الثبيتي | ayat=176
  ✅ read=50 | عبدالبارئ محمد | ayat=176
  ✅ read=53 | عبدالباسط عبدالصمد | ayat=177
  ✅ read=54 | عبدالرحمن السديس | ayat=176
  ✅ read=55 | عبدالعزيز الأحمد | ayat=176
  ✅ read=56 | عبدالعزيز الزهراني | ayat=176
  ✅ read=58 | عبدالله البعيجان | ayat=176
  ✅ read=59 | عبدالله المطرود | ayat=176
  ✅ read=60 | عبدالله بصفر | ayat=177
  ✅ read=61 | عبدالله خياط | ayat=176
  ✅ read=62 | عبدالله عواد الجهني | ayat=166
  ✅ read=66 | عبدالمحسن الحارثي | ayat=176
  ✅ read=67 | عبدالمحسن القاسم | ayat=165
  ✅ read=69 | عبدالمحسن العبيكان | ayat=176
  ✅ read=70 | عبدالهادي أحمد كناكري | ayat=176
  ✅ read=71 | عبدالودود حنيف | ayat=176
  ✅ read=72 | عبدالولي الأركاني | ayat=176
  ✅ read=74 | علي بن عبدالرحمن الحذيفي | ayat=176
  ✅ read=76 | علي جابر | ayat=176
  ✅ read=77 | علي حجاج السويسي | ayat=177
  ✅ read=78 | عماد زهير حافظ | ayat=177
  ✅ read=81 | فارس عباد | ayat=176
  ✅ read=86 | ناصر القطامي | ayat=176
  ✅ read=87 | نبيل الرفاعي | ayat=176
  ✅ read=88 | نعمة الحسان | ayat=176
  ✅ read=89 | هاني الرفاعي | ayat=176
  ✅ read=92 | ياسر الدوسري | ayat=176
  ✅ read=106 | محمد الطبلاوي | ayat=177
  ✅ read=109 | محمد أيوب | ayat=176
  ✅ read=110 | محمد صالح عالم شاه | ayat=176
  ✅ read=112 | محمد صديق المنشاوي | ayat=177
  ✅ read=115 | محمد عبدالكريم | ayat=176
  ✅ read=118 | محمود خليل الحصري | ayat=177
  ✅ read=123 | مشاري العفاسي | ayat=176
  ✅ read=139 | ماجد الزامل | ayat=176
  ✅ read=159 | خالد المهنا | ayat=177
  ✅ read=181 | جمعان العصيمي | ayat=176
  ✅ read=193 | يوسف بن نوح أحمد | ayat=176
  ✅ read=198 | محمد رشاد الشريف | ayat=176
  ✅ read=201 | أحمد الطرابلسي | ayat=176
  ✅ read=203 | أحمد عامر | ayat=176
  ✅ read=217 | بندر بليله | ayat=176
  ✅ read=219 | وديع اليمني | ayat=176
  ✅ read=221 | رعد محمد الكردي | ayat=176
  ✅ read=225 | عبدالرحمن العوسي | ayat=176
  ✅ read=229 | محمد خليل القارئ | ayat=176
  ✅ read=232 | إبراهيم الدوسري | ayat=176
  ✅ read=236 | عبدالرحمن الماجد | ayat=176
  ✅ read=243 | عبدالله الموسى | ayat=176
  ✅ read=244 | عبدالله الخلف | ayat=176
  ✅ read=245 | منصور السالمي | ayat=176
  ✅ read=250 | محمد البخيت | ayat=176
  ✅ read=256 | أحمد خليل شاهين | ayat=176
  ✅ read=258 | عبدالرشيد صوفي | ayat=176
  ✅ read=259 | أحمد النفيس | ayat=176
  ✅ read=265 | أحمد ديبان | ayat=176
  ✅ read=268 | بيشه وا قادر الكردي | ayat=176
  ✅ read=273 | هيثم الدخين | ayat=176
  ✅ read=282 | عبدالعزيز التركي | ayat=176
  ✅ read=289 | أحمد عيسى المعصراوي | ayat=176
  ✅ read=294 | سيد أحمد هاشمي | ayat=176
  ✅ read=295 | خالد كريم محمدي | ayat=176
  ✅ read=299 | حسن صالح | ayat=176
  ✅ read=300 | صالح الشمراني | ayat=176
  ✅ read=303 | عيسى عمر سناكو | ayat=176
  ✅ read=314 | أنس العمادي | ayat=176
  ✅ read=340 | محمد برهجي | ayat=176
  ✅ read=10905 | حسن الدغريري | ayat=176
✅ تم إنشاء: timings_hafs_114/timing_004.json

📖 تحميل توقيتات السورة 005 ...
  ✅ read=1 | إبراهيم الأخضر | ayat=121
  ✅ read=3 | إبراهيم العسيري | ayat=120
  ✅ read=4 | شيخ أبو بكر الشاطري | ayat=120
  ✅ read=5 | أحمد بن علي العجمي | ayat=121
  ✅ read=6 | أحمد الحواشي | ayat=120
  ✅ read=8 | أحمد صابر | ayat=120
  ✅ read=9 | أحمد نعينع | ayat=121
  ✅ read=10 | أكرم العلاقمي | ayat=121
  ✅ read=12 | إدريس أبكر | ayat=120
  ✅ read=13 | الزين محمد أحمد | ayat=120
  ✅ read=17 | توفيق الصايغ | ayat=120
  ✅ read=20 | خالد الجليل | ayat=120
  ✅ read=21 | خالد القحطاني | ayat=120
  ✅ read=22 | خالد عبدالكافي | ayat=120
  ✅ read=24 | خليفة الطنيجي | ayat=120
  ✅ read=25 | داود حمزة | ayat=120
  ✅ read=30 | سعد الغامدي | ayat=120
  ✅ read=31 | سعود الشريم | ayat=121
  ✅ read=32 | سهل ياسين | ayat=121
  ✅ read=33 | زكي داغستاني | ayat=120
  ✅ read=38 | شيرزاد عبدالرحمن طاهر | ayat=120
  ✅ read=39 | صابر عبدالحكم | ayat=120
  ✅ read=40 | صالح الصاهود | ayat=120
  ✅ read=42 | صالح الهبدان | ayat=120
  ✅ read=43 | صلاح البدير | ayat=120
  ✅ read=44 | صلاح الهاشم | ayat=120
  ✅ read=46 | صلاح بو خاطر | ayat=120
  ✅ read=48 | عادل ريان | ayat=120
  ✅ read=49 | عبدالبارئ الثبيتي | ayat=120
  ✅ read=50 | عبدالبارئ محمد | ayat=120
  ✅ read=53 | عبدالباسط عبدالصمد | ayat=121
  ✅ read=54 | عبدالرحمن السديس | ayat=120
  ✅ read=55 | عبدالعزيز الأحمد | ayat=120
  ✅ read=56 | عبدالعزيز الزهراني | ayat=120
  ✅ read=58 | عبدالله البعيجان | ayat=120
  ✅ read=59 | عبدالله المطرود | ayat=120
  ✅ read=60 | عبدالله بصفر | ayat=121
  ✅ read=61 | عبدالله خياط | ayat=120
  ✅ read=62 | عبدالله عواد الجهني | ayat=121
  ✅ read=66 | عبدالمحسن الحارثي | ayat=120
  ✅ read=67 | عبدالمحسن القاسم | ayat=121
  ✅ read=69 | عبدالمحسن العبيكان | ayat=120
  ✅ read=70 | عبدالهادي أحمد كناكري | ayat=120
  ✅ read=71 | عبدالودود حنيف | ayat=120
  ✅ read=72 | عبدالولي الأركاني | ayat=120
  ✅ read=74 | علي بن عبدالرحمن الحذيفي | ayat=120
  ✅ read=76 | علي جابر | ayat=120
  ✅ read=77 | علي حجاج السويسي | ayat=121
  ✅ read=78 | عماد زهير حافظ | ayat=121
  ✅ read=81 | فارس عباد | ayat=120
  ✅ read=86 | ناصر القطامي | ayat=120
  ✅ read=87 | نبيل الرفاعي | ayat=120
  ✅ read=88 | نعمة الحسان | ayat=120
  ✅ read=89 | هاني الرفاعي | ayat=120
  ✅ read=92 | ياسر الدوسري | ayat=120
  ✅ read=106 | محمد الطبلاوي | ayat=121
  ✅ read=109 | محمد أيوب | ayat=120
  ✅ read=110 | محمد صالح عالم شاه | ayat=120
  ✅ read=112 | محمد صديق المنشاوي | ayat=121
  ✅ read=115 | محمد عبدالكريم | ayat=120
  ✅ read=118 | محمود خليل الحصري | ayat=121
  ✅ read=123 | مشاري العفاسي | ayat=120
  ✅ read=139 | ماجد الزامل | ayat=120
  ✅ read=159 | خالد المهنا | ayat=121
  ✅ read=181 | جمعان العصيمي | ayat=120
  ✅ read=193 | يوسف بن نوح أحمد | ayat=120
  ✅ read=198 | محمد رشاد الشريف | ayat=120
  ✅ read=201 | أحمد الطرابلسي | ayat=120
  ✅ read=203 | أحمد عامر | ayat=120
  ✅ read=217 | بندر بليله | ayat=120
  ✅ read=219 | وديع اليمني | ayat=120
  ✅ read=221 | رعد محمد الكردي | ayat=120
  ✅ read=225 | عبدالرحمن العوسي | ayat=120
  ✅ read=229 | محمد خليل القارئ | ayat=120
  ✅ read=232 | إبراهيم الدوسري | ayat=120
  ✅ read=236 | عبدالرحمن الماجد | ayat=120
  ✅ read=243 | عبدالله الموسى | ayat=120
  ✅ read=244 | عبدالله الخلف | ayat=120
  ✅ read=245 | منصور السالمي | ayat=120
  ✅ read=250 | محمد البخيت | ayat=120
  ✅ read=256 | أحمد خليل شاهين | ayat=120
  ✅ read=258 | عبدالرشيد صوفي | ayat=120
  ✅ read=259 | أحمد النفيس | ayat=120
  ✅ read=265 | أحمد ديبان | ayat=120
  ✅ read=268 | بيشه وا قادر الكردي | ayat=120
  ✅ read=273 | هيثم الدخين | ayat=120
  ✅ read=282 | عبدالعزيز التركي | ayat=120
  ✅ read=289 | أحمد عيسى المعصراوي | ayat=120
  ✅ read=294 | سيد أحمد هاشمي | ayat=120
  ✅ read=295 | خالد كريم محمدي | ayat=120
  ✅ read=299 | حسن صالح | ayat=120
  ✅ read=300 | صالح الشمراني | ayat=120
  ✅ read=303 | عيسى عمر سناكو | ayat=120
  ✅ read=314 | أنس العمادي | ayat=120
  ✅ read=340 | محمد برهجي | ayat=120
  ✅ read=10905 | حسن الدغريري | ayat=120
✅ تم إنشاء: timings_hafs_114/timing_005.json

📖 تحميل توقيتات السورة 006 ...
  ✅ read=1 | إبراهيم الأخضر | ayat=166
  ✅ read=3 | إبراهيم العسيري | ayat=165
  ✅ read=4 | شيخ أبو بكر الشاطري | ayat=165
  ✅ read=5 | أحمد بن علي العجمي | ayat=166
  ✅ read=6 | أحمد الحواشي | ayat=165
  ✅ read=8 | أحمد صابر | ayat=165
  ✅ read=9 | أحمد نعينع | ayat=166
  ✅ read=10 | أكرم العلاقمي | ayat=166
  ✅ read=12 | إدريس أبكر | ayat=165
  ✅ read=13 | الزين محمد أحمد | ayat=165
  ✅ read=17 | توفيق الصايغ | ayat=165
  ✅ read=20 | خالد الجليل | ayat=165
  ✅ read=21 | خالد القحطاني | ayat=165
  ✅ read=22 | خالد عبدالكافي | ayat=165
  ✅ read=24 | خليفة الطنيجي | ayat=165
  ✅ read=25 | داود حمزة | ayat=165
  ✅ read=30 | سعد الغامدي | ayat=165
  ✅ read=31 | سعود الشريم | ayat=166
  ✅ read=32 | سهل ياسين | ayat=166
  ✅ read=33 | زكي داغستاني | ayat=165
  ✅ read=38 | شيرزاد عبدالرحمن طاهر | ayat=165
  ✅ read=39 | صابر عبدالحكم | ayat=165
  ✅ read=40 | صالح الصاهود | ayat=165
  ✅ read=42 | صالح الهبدان | ayat=165
  ✅ read=43 | صلاح البدير | ayat=165
  ✅ read=44 | صلاح الهاشم | ayat=165
  ✅ read=46 | صلاح بو خاطر | ayat=165
  ✅ read=48 | عادل ريان | ayat=165
